company,ds,yhat
0,2019-04-30,283.6559879541519
0,2019-05-01,298.1742524876342
0,2019-05-02,287.5224457299106
0,2019-05-03,329.4688555233903
0,2019-05-04,268.415890463525
0,2019-05-05,270.8412068209575
0,2019-05-06,304.60045121881797
0,2019-05-07,262.9635019474095
0,2019-05-08,276.8048699105076
0,2019-05-09,265.4344346072398
0,2019-05-10,306.64009971136034
0,2019-05-11,244.8489562744622
0,2019-05-12,246.56753115362642
0,2019-05-13,279.6834986170081
0,2019-05-14,237.5007719897104
0,2019-05-15,250.9286738316379
0,2019-05-16,239.3113998719423
0,2019-05-17,280.4694021691686
0,2019-05-18,218.85932024934087
0,2019-05-19,221.01307710774432
0,2019-05-20,254.83855468359187
0,2019-05-21,213.65379857877207
0,2019-05-22,228.37547869502282
0,2019-05-23,218.34784362896602
0,2019-05-24,261.3838106897191
0,2019-05-25,201.92483000011973
0,2019-05-26,206.48014233586701
0,2019-05-27,242.92784109644353
0,2019-05-28,204.5496771575684
0,2019-05-29,222.22031581825064
0,2019-05-30,215.23726036959187
0,2019-05-31,261.3630557216451
0,2019-06-01,204.9863779059021
0,2019-06-02,212.562593272188
0,2019-06-03,251.91615985287476
0,2019-06-04,216.27677079805932
0,2019-06-05,236.46991052311392
0,2019-06-06,231.748000941147
0,2019-06-07,279.8337166163409
0,2019-06-08,225.08204361782725
0,2019-06-09,233.92163933565203
0,2019-06-10,274.15784441617427
0,2019-06-11,239.00923124478962
0,2019-06-12,259.29835038131785
0,2019-06-13,254.28284956569377
0,2019-06-14,301.6985478364573
0,2019-06-15,245.92104955948471
0,2019-06-16,253.40647155164194
0,2019-06-17,291.9936557477893
0,2019-06-18,254.939777764391
0,2019-06-19,273.1100424907959
0,2019-06-20,265.80767386017067
0,2019-06-21,310.8158156711432
0,2019-06-22,252.55796327230718
0,2019-06-23,257.53753390719584
0,2019-06-24,293.6389813029713
0,2019-06-25,254.1623954957329
0,2019-06-26,270.0123062400387
0,2019-06-27,260.52692013953686
0,2019-06-28,303.51942645968165
0,2019-06-29,243.43800411935533
0,2019-06-30,246.8051446232607
0,2019-07-01,281.5186976098875
0,2019-07-02,240.8865753004558
0,2019-07-03,255.81582390251046
0,2019-07-04,245.64227667613244
0,2019-07-05,288.17240361292875
0,2019-07-06,227.84396638427046
0,2019-07-07,231.16606648567887
0,2019-07-08,266.0209643745836
0,2019-07-09,225.69957595954457
0,2019-07-10,241.09132456512606
0,2019-07-11,231.51453415588585
0,2019-07-12,274.7589518607168
0,2019-07-13,215.24698446079412
0,2019-07-14,219.47421651622568
0,2019-07-15,255.3115721031553
0,2019-07-16,216.04101566272055
0,2019-07-17,232.54546455550766
0,2019-07-18,224.13909910918562
0,2019-07-19,268.6096637167658
0,2019-07-20,210.37935450536335
0,2019-07-21,215.94487707226196
0,2019-07-22,253.17905650167998
0,2019-07-23,215.3659191308897
0,2019-07-24,233.38994552861425
0,2019-07-25,226.5657092971777
0,2019-07-26,272.6795250405702
0,2019-07-27,216.14973069773873
0,2019-07-28,223.4662162595371
0,2019-07-29,262.49160740644896
0,2019-07-30,226.49604669084866
0,2019-07-31,246.3462908311876
0,2019-08-01,241.3353530300636
0,2019-08-02,289.2243225406882
0,2019-08-03,234.40298971907114
0,2019-08-04,243.3298855178582
0,2019-08-05,283.83413475459616
0,2019-08-06,249.1510505810645
0,2019-08-07,270.11216788837044
0,2019-08-08,265.97591864092294
0,2019-08-09,314.4705510828991
0,2019-08-10,259.9558872933844
0,2019-08-11,268.8644918276966
0,2019-08-12,309.00461320727106
0,2019-08-13,273.5967879557541
0,2019-08-14,293.464768244996
0,2019-08-15,287.86694172831267
0,2019-08-16,334.5398145286978
0,2019-08-17,277.86012538591723
0,2019-08-18,284.28614270519563
0,2019-08-19,321.66049157199575
0,2019-08-20,283.246392659458
0,2019-08-21,299.9179736857659
0,2019-08-22,290.99082919045253
0,2019-08-23,334.2644143533993
0,2019-08-24,274.18286296729923
0,2019-08-25,277.2748102747479
0,2019-08-26,311.4546028833063
0,2019-08-27,270.0568181243301
0,2019-08-28,284.0247981757095
0,2019-08-29,272.7394223754487
0,2019-08-30,314.05975279014706
0,2019-08-31,252.48219274067745
0,2019-09-01,254.57878740824404
0,2019-09-02,288.2970945216782
0,2019-09-03,246.99358926466226
0,2019-09-04,261.6213451877799
0,2019-09-05,251.55824453559407
0,2019-09-06,294.6473755630376
0,2019-09-07,235.3562707786546
0,2019-09-08,240.215620629477
0,2019-09-09,277.11988685054814
0,2019-09-10,239.36176660879687
0,2019-09-11,257.82122718521043
0,2019-09-12,251.79533400781747
0,2019-09-13,299.0404911607843
0,2019-09-14,243.9337029825389
0,2019-09-15,252.91344022015434
0,2019-09-16,293.7824795549571
0,2019-09-17,259.7446093474249
0,2019-09-18,281.5958617945923
0,2019-09-19,278.55643513721014
0,2019-09-20,328.31486792368526
0,2019-09-21,275.19102049522826
0,2019-09-22,285.5783989376788
0,2019-09-23,327.24814872814795
0,2019-09-24,293.38657722091193
0,2019-09-25,314.786840366507
0,2019-09-26,310.6809422180212
0,2019-09-27,358.78360436555204
0,2019-09-28,303.45456607381857
0,2019-09-29,311.1398663907181
0,2019-09-30,349.6744615398956
0,2019-10-01,312.3180722521387
0,2019-10-02,329.9449404571604
0,2019-10-03,321.8736952627854
0,2019-10-04,365.9089427120249
0,2019-10-05,306.50120185171795
0,2019-10-06,310.1858028483215
0,2019-10-07,344.8831658572484
0,2019-10-08,303.93241978086246
0,2019-10-09,318.27910209028653
0,2019-10-10,307.30319690682154
